1AND2AND3	(1AND2)	(1AND3)	(2AND3)	(1AND2)-3	(1AND3)-2	(2AND3)-1	1-(2AND3)	2-(1AND3)	3-(1AND2)
P22102	P62917	P83916	Q9UFN0						
P13798	Q96PU5	O75436	Q9BXJ9						
Q15121	O43615	P30043	P27635						
P13639	Q13907	Q96FW1	P17844						
P62495	P46781	Q9Y224	O75436						
P02794	P51858	Q15185	P30043						
P23381	P06703	P02786	Q96FW1						
Q13148	Q9NRR5	P62917	Q9Y224						
Q8NBS9	P07814	Q96PU5	Q15185						
P52597	P22102	O43615	P02786						
P62244	P13798	Q13907	P62917						
Q99613	O43708	P46781	Q96PU5						
P09104	Q15121	P51858	Q92522						
Q96AE4	P13639	P06703	O43615						
P49327	P62495	Q9NRR5	Q13907						
Q15029	P02794	P07814	P46781						
O75717	P23381	P22102	P51858						
P62081	Q13148	P13798	P06703						
P00338	Q8NBS9	Q15121	Q9NRR5						
Q6P2Q9	P52597	P13639	P07814						
Q8IWX8	P62244	P62495	P22102						
P35268	Q99613	P02794	P13798						
Q16531	P09104	P23381	Q15121						
O14818	Q96AE4	Q13148	P13639						
O00410	P49327	Q8NBS9	P62495						
Q15008	Q15029	P52597	P02794						
Q15645	O75717	P62244	P23381						
Q99623	P62081	Q99613	Q13148						
P27816	P00338	P09104	Q8NBS9						
P14618	Q6P2Q9	Q96AE4	P52597						
Q9C002	Q8IWX8	P49327	P62244						
Q8NBJ7	P35268	Q15029	Q99613						
P04075	Q16531	O75717	P09104						
P62995	O14818	P62081	Q96AE4						
P61088	Q49AR2	P00338	P49327						
P62913	O00410	Q6P2Q9	Q15029						
Q8IZP2	Q15008	Q8IWX8	O75717						
Q14697	Q15645	P35268	P62081						
P60660	Q99623	Q16531	P00338						
P63000	P27816	O14818	Q6P2Q9						
Q9UI30	P14618	O00410	Q8IWX8						
P04439	Q9C002	Q15008	P35268						
Q02818	Q8NBJ7	Q15645	Q16531						
O60841	Q6DKJ4	Q99623	O14818						
Q15046	P04075	P27816	O00410						
P12004	P62995	P14618	O75351						
Q9Y6X9	Q8ND56	Q9C002	Q15008						
Q96HC4	P61088	Q8NBJ7	Q15645						
P61020	P62913	P04075	Q99623						
P23919	Q8IZP2	P62995	P27816						
Q07666	Q14697	P61088	P14618						
Q9UK76	P60660	P62913	Q9C002						
Q92973	P63000	Q8IZP2	Q9Y285						
P53621	Q9UI30	Q09161	Q8NBJ7						
P26641	P04439	Q14697	Q52LJ0						
O00203	Q02818	P60660	Q9Y221						
O75608	O60841	P63000	P04075						
P40429	Q15046	Q9UI30	P62995						
Q9UQ80	P12004	Q6ZMU5	P61088						
Q15126	Q9Y6X9	P04439	P62913						
P30049	Q96HC4	Q02818	Q8IZP2						
O00154	P61020	Q9UHY7	Q14697						
P08758	P23919	O60841	Q9BYD3						
Q16563	Q07666	Q15046	P60660						
Q7L014	Q9UK76	P12004	P63000						
